Kind,ICAO,FAA,IATA,City,Name,Latitude,Longitude,Max Runway,Airlines
Small,YCSP,,,,Curtin Springs Airport,-25.317(S),131.750(E),,
Small,YYND,,YUE,,YUENDUMU,-22.254(S),131.782(E),4724 ft,
Small,YODA,,,,Ooldea Airport,-30.457(S),131.823(E),,
Small,YCPD,,,,Cape Don Airport,-11.298(S),131.827(E),,
Small,YPNC,,,,Pine Creek Airport,-13.833(S),131.833(E),,
Small,YKCS,,KCS,,Kings Creek Airport,-24.423(S),131.835(E),,
Small,YHAA,,,,Haasts Bluff Airport,-23.455(S),131.853(E),,
Small,YSAI,,,,Saipem Airport,-23.700(S),131.867(E),,
Small,YPAY,,,,Papunya Airport,-23.247(S),131.903(E),,
Small,YMDY,,,,MOUNT BUNDEY,-12.890(S),131.908(E),3970 ft,
Small,YDWF,,,,Delamere Range Facility Airport,-15.747(S),131.920(E),,
Small,YVSH,,,,Vashon Head Airport,-11.150(S),131.983(E),,
Small,YFRG,,,,Fregon Airport,-26.775(S),132.017(E),,
Small,YUMU,,,,Umuwa Airport,-26.487(S),132.040(E),,
Small,YMNN,,,,Mount Denison Airport,-22.142(S),132.070(E),,
Small,YSMP,,SHU,,Smith Point Airport,-11.150(S),132.150(E),,
Small,YMWE,,,,Mount Wedge Airport,-22.737(S),132.151(E),,
Small,YERN,,ERB,,Ernabella Airport,-26.263(S),132.182(E),,
Small,YEMJ,,,,Emu Junction Airport,-28.633(S),132.183(E),,
Small,YMNA,,,,Mount Allan Airport,-22.275(S),132.217(E),,
Small,YNDR,,,,Nundroo Airport,-31.780(S),132.223(E),,
Small,YARN,,,,Areyonga Airport,-24.067(S),132.267(E),,
Small,YWLH,,,,Wallara Ranch Airport,-24.650(S),132.317(E),,
Small,YKHG,,,,Katherine Gorge Airport,-14.389(S),132.393(E),,
Small,YTPE,,,,Tempe Downs Airport,-24.382(S),132.423(E),,
Small,YKEN,,,,Kenmore Park Airport,-26.333(S),132.467(E),,
Small,YCKI,,CKI,,Croker Island Airport,-11.165(S),132.483(E),,1
Small,YCOO,,CDA,,Cooinda Airport,-12.903(S),132.532(E),,
Small,YCNS,,,,Coniston Airport,-22.133(S),132.533(E),,
Small,YMIJ,,,,Minjilang Airport,-11.158(S),132.547(E),,
Small,YIMA,,,,Imanpa Airport,-25.133(S),132.570(E),,
Small,YWLA,,,,Willowra Airport,-21.277(S),132.623(E),,
Small,YMBZ,,,,Mount Ebenezer Airport,-25.167(S),132.633(E),,
Small,YNWT,,,,Narwietooma Airport,-23.233(S),132.633(E),,
Small,YBTN,,,,Barton Siding Airport,-30.525(S),132.660(E),,
Small,YEVP,,,,Everard Park Airport,-27.017(S),132.717(E),,
Small,YHMB,,HMG,,Hermannsburg Airport,-23.930(S),132.805(E),,
Small,YBMY,,,,Bamyili Airport,-14.520(S),132.883(E),,
Small,YJAB,,JAB,,JABIRU,-12.658(S),132.893(E),4670 ft,
Small,YMUE,,,,Mount Borradale Airport,-12.098(S),132.907(E),,
Small,YMPK,,,,Milton Park Airport,-23.367(S),133.000(E),,
Small,YOEN,,OPI,,OENPELLI,-12.325(S),133.006(E),4331 ft,
Small,YMKA,,,,Mararanka Homestead Airport,-14.932(S),133.125(E),,
Small,YANN,,,,Anningie Airport,-21.832(S),133.125(E),,
Small,YABU,,,,Amburla Airport,-23.333(S),133.183(E),,
Small,YMVG,,MKV,,Mount Cavenagh Airport,-25.967(S),133.200(E),,
Small,YHBY,,HRY,,Henbury Airport,-24.584(S),133.236(E),,
Small,YDRL,,,,De Rose Hill Airport,-26.433(S),133.258(E),,
Small,YMIB,,,,Mintabie Airport,-27.328(S),133.305(E),,
Small,YNAB,,,,Nabarlek Airport,-12.308(S),133.313(E),,
Small,YIDK,,IDK,,Indulkana Airport,-26.967(S),133.325(E),,
Small,YLLA,,,,Mobella Airport,-29.798(S),133.345(E),,
Small,YTCY,,,,Tarcoonyinna Airport,-26.750(S),133.350(E),,
Small,YGBI,,GBL,,South Goulburn Is Airport,-11.650(S),133.382(E),,1
Small,YTIT,,,,Ti Tree Airport,-22.132(S),133.420(E),,
Small,YWYB,,,,Wynbring Airport,-30.562(S),133.533(E),,
Small,YIMP,,,,Impadna Airport,-25.150(S),133.583(E),,
Small,YGDW,,GTS,,Granite Downs Airport,-26.948(S),133.607(E),,3
Small,YALA,,MRP,,Marla Airport,-27.333(S),133.627(E),,
Small,YGMD,,,,Goomadeer Airport,-12.100(S),133.667(E),,
Small,YHGR,,,,Hugh River Airport,-24.417(S),133.700(E),,
Small,YUMB,,,,Umbeara Airport,-25.747(S),133.702(E),,
Medium,YCDU,,CED,,CEDUNA,-32.131(S),133.710(E),5709 ft,1
Small,YIDR,,,,Idracowra Airport,-25.063(S),133.733(E),,
Small,YMVY,,,,Mount Valley Airport,-14.083(S),133.817(E),,
Small,YBSP,,,,Bond Springs Airport,-23.515(S),133.843(E),,
Small,YBRC,,,,Barrow Creek Airport,-21.533(S),133.883(E),,
Small,YTYN,,,,Tieyon Airport,-26.217(S),133.917(E),,
Small,YMGG,,,,Mulgathing Airport,-30.229(S),133.986(E),,
Small,YLLC,,,,Lilla Creek Airport,-25.567(S),134.000(E),,
Small,YMYV,,,,Maryvale Airport,-24.660(S),134.032(E),,
Small,YCDH,,,,Cadney Homestead Airport,-27.908(S),134.053(E),,
Small,YLAM,,,,Lambina Airport,-26.913(S),134.058(E),,
Small,YHDD,,,,Hodgson Downs Airport,-15.222(S),134.076(E),,
Small,YWLB,,,,Welbourn Hill Airport,-27.358(S),134.093(E),,
Small,YMSK,,,,Mount Skinner Airport,-22.183(S),134.117(E),,
Small,YDPW,,,,Deep Well Airport,-24.300(S),134.133(E),,
Small,YCWH,,,,Commonwealth Hill Airport,-29.962(S),134.143(E),,
Small,YWIB,,,,Mount Willoughby Airport,-27.983(S),134.150(E),,
Small,YHSB,,,,Horseshoe Bend Airport,-25.217(S),134.267(E),,
Small,YKBY,,KBY,,STREAKY BAY,-32.836(S),134.293(E),4432 ft,
Small,YCPH,,,,Copper Hills Airport,-27.978(S),134.317(E),,
Small,YMAK,,,,Mabel Creek Station Airport,-28.942(S),134.333(E),,
Small,YMTC,,,,Mount Clarence Airport,-28.833(S),134.358(E),,
Small,YMAI,,,,Manguri Airport,-28.980(S),134.372(E),,
Small,YSTT,,,,Santa Teresa Airport,-24.118(S),134.390(E),,
Small,YWBI,,,,Warrabri Airport,-21.000(S),134.397(E),,
Small,YALM,,,,Allambie Airport,-24.267(S),134.400(E),,
Small,YGDR,,,,The Garden Airport,-23.287(S),134.440(E),,
Small,YALC,,,,Alcoota Station Airport,-22.833(S),134.450(E),,
Small,YBNY,,,,Brunchilly Airport,-18.870(S),134.462(E),,
Small,YEYD,,,,Evelyn Downs Airport,-28.205(S),134.488(E),,
Small,YFLS,,,,Flinders Island Airport,-33.731(S),134.501(E),,
Small,YROV,,,,Ross River Airport,-23.599(S),134.517(E),,
Small,YWSI,,,,Wirrida Siding Airport,-29.567(S),134.517(E),,
Small,YQUA,,,,Quarry2 Airport,-30.292(S),134.527(E),,
Small,YUPG,,,,Urapunga Airport,-14.717(S),134.567(E),,
Small,YUTS,,,,Utopia Station Airport,-22.233(S),134.580(E),,
Small,YTNR,,,,Tanumbirini Airport,-16.450(S),134.650(E),,
Small,YMDK,,,,Mount Riddock Airport,-23.033(S),134.683(E),,
Small,YMYW,,,,Murray Downs Airport,-21.048(S),134.683(E),,
Medium,YCBP,,CPD,,COOBER PEDY,-29.040(S),134.721(E),4685 ft,2
Small,YWNA,,,,Wilgena Airport,-30.767(S),134.730(E),,
Small,YAKG,,,,Arckaringa Airport,-27.947(S),134.745(E),,
Medium,YNGU,,RPM,,NGUKURR,-14.723(S),134.748(E),5020 ft,
Small,YTDM,,,,Todmorden Airport,-27.124(S),134.770(E),,
Small,YUTP,,,,Utopia Airport,-22.055(S),134.790(E),,
Small,YIGR,,,,Ingomar Airport,-29.633(S),134.793(E),,
Small,YNCS,,,,New Crown Airport,-25.667(S),134.833(E),,
Small,YCHR,,,,Childra Airport,-31.700(S),134.833(E),,
Small,YKDL,,,,Kondoolka Airport,-32.024(S),134.861(E),,
Small,YDLD,,,,Delmore Downs Airport,-22.459(S),134.884(E),,
Small,YRNG,,RAM,,RAMINGINING,-12.356(S),134.898(E),4825 ft,1
Small,YBUL,,,,Bulgunnia Airport,-30.187(S),134.903(E),,
Small,YHTS,,,,Harts Range Airport,-22.985(S),134.918(E),,
Small,YRNW,,,,Ringwood Airport,-23.828(S),134.962(E),,
Small,YMNB,,,,Mount Barry Airport,-28.233(S),135.000(E),,
Small,YMNS,,,,Mount Swan Airport,-22.600(S),135.017(E),,
Small,YLVD,,,,Lake Everard Airport,-31.733(S),135.027(E),,
Small,YHMT,,,,Hamilton Airport,-26.720(S),135.073(E),,
Small,YHTA,,,,Hiltaba Airport,-32.143(S),135.099(E),,
Small,YMPA,,MIN,,Minnipa Airport,-32.843(S),135.145(E),,
Small,YDPR,,,,Dneiper Airport,-22.617(S),135.200(E),,
Small,YAMJ,,,,Ampilatwatja Airport,-21.655(S),135.230(E),,
Small,YAMM,,AMX,,Ammaroo Airport,-21.738(S),135.242(E),,
Small,YKKH,,,,Kokatha Airport,-31.292(S),135.242(E),,
Small,YSAR,,,,Mount Sarah Airport,-27.043(S),135.242(E),,
Small,YMTX,,,,Mount Dare Airport,-26.062(S),135.247(E),,
Small,YEPR,,,,Epenarra Airport,-20.433(S),135.267(E),,
Small,YADO,,,,Andado Airport,-25.412(S),135.290(E),,
Small,YKGA,,,,Kingoonya Airport,-30.902(S),135.305(E),,
Small,YNWL,,,,North Well Airport,-30.846(S),135.309(E),,
Small,YDYD,,,,Derry Downs Airport,-22.083(S),135.333(E),,
Small,YMTP,,,,Mount Hope Airport,-34.137(S),135.338(E),,
Small,YHOA,,,,Howard Island Airport,-12.095(S),135.362(E),,
Small,YNUE,,,,Numery Airport,-23.983(S),135.400(E),,
Small,YOAD,,,,Old Andado Airport,-25.383(S),135.417(E),,
Small,YHKT,,,,Huckitta Airport,-22.943(S),135.447(E),,
Small,YOOD,,ODD,,Oodnadatta Airport,-27.562(S),135.447(E),,
Small,YWUD,,WUD,,WUDINNA,-33.043(S),135.447(E),4954 ft,
Small,YBAH,,,,Bauhinia Downs Airport,-16.133(S),135.467(E),,
Small,YBBO,,,,Bon Bon Airport,-30.407(S),135.480(E),,
Small,YRDA,,,,Yardea Airport,-32.410(S),135.485(E),,
Small,DALH,,,,Dalhousie Airport,-26.429(S),135.506(E),,
Small,YCOF,,,,Coffin Bay Airport,-34.633(S),135.517(E),,
Small,YDLH,,,,Dalhousie Airport,-26.435(S),135.517(E),,
Small,YANL,,AYL,,Anthony Lagoon Airport,-18.018(S),135.535(E),,
Small,YCCK,,,,Canteen Creek Airport,-20.651(S),135.585(E),,
Small,YKWG,,,,Kangaroo Well Airport,-31.785(S),135.638(E),,
Small,YMAC,,,,Macumba Airport,-27.262(S),135.638(E),,
Small,YCUS,,,,CUMMINS,-34.208(S),135.642(E),4124 ft,
Small,YRRR,,,,Raymangirr Airport,-12.333(S),135.650(E),,
Small,YWHL,,,,Walhallow Airport,-17.767(S),135.650(E),,
Small,YMEB,,,,Mount Eba Airport,-30.176(S),135.671(E),,
Small,YARP,,,,Arapunya Airport,-22.317(S),135.700(E),,
Small,YCMM,,,,Cummins Town Airport,-34.258(S),135.708(E),,
Small,YNUM,,NUB,,NUMBULWAR,-14.272(S),135.717(E),4331 ft,
Small,YVIV,,,,Mount Vivian Airport,-30.583(S),135.717(E),,
Small,YCCF,,,,Cape Crawford Airport,-16.683(S),135.733(E),,
Small,YJNK,,,,Jinka Airport,-22.950(S),135.733(E),,
Small,YWRV,,,,Walker River Airport,-13.593(S),135.755(E),,
Small,YGLD,,,,Glendambo Airport,-30.967(S),135.775(E),,
Small,YMYH,,,,Mallapunyah Springs Airport,-16.967(S),135.783(E),,
Small,YLEV,,LEL,,LAKE EVELLA,-12.499(S),135.806(E),3494 ft,1
Small,YBKS,,,,Barkly Wayside Inn Airport,-19.709(S),135.819(E),,
Small,YMOE,,,,Moonaree Airport,-31.966(S),135.875(E),,
Small,YCDB,,,,Coondambo Airport,-31.067(S),135.883(E),,
Small,YNPA,,,,Nilpinna Airport,-28.483(S),135.900(E),,
Small,YPKE,,,,Peake Airport,-28.250(S),135.900(E),,
Small,YBRU,,BTD,,Brunette Downs Airport,-18.640(S),135.938(E),,
Small,YGAN,,,,Gan Gan Airport,-13.067(S),135.950(E),,
Small,YMIV,,,,Mount Ive Airport,-32.444(S),136.069(E),,
Small,YORT,,,,Ooratippra Airport,-21.906(S),136.069(E),,
Small,YTBB,,,,Tumby Bay Airport,-34.362(S),136.095(E),,
Small,YJVS,,,,Jervois Airport,-22.913(S),136.120(E),,
Small,YIKL,,,,Baikal Airport,-22.763(S),136.163(E),,
Small,YANK,,,,Anna Creek Airport,-28.897(S),136.170(E),,
Small,YKIA,,,,Kiana Station Airport,-17.242(S),136.175(E),,
Small,YLUC,,,,Lucy Creek Airport,-22.467(S),136.267(E),,
Small,YJVM,,,,Jervois Mine Airport,-22.633(S),136.267(E),,
Small,YKOL,,,,Kolendo Airport,-32.416(S),136.298(E),,
Small,YBRL,,BOX,,BORROLOOLA,-16.075(S),136.302(E),3770 ft,
Small,YWMC,,,,William Creek Airport,-28.907(S),136.342(E),,
Small,YATL,,,,Atula Airport,-23.283(S),136.367(E),,
Small,YPKI,,,,Parakylia Airport,-30.400(S),136.392(E),,
Small,YMWO,,,,Mahanewo Airport,-31.718(S),136.433(E),,
Small,YANW,,,,Annitowa Airport,-21.200(S),136.448(E),,
Small,YIMB,,,,Kimba Airport,-33.100(S),136.460(E),,
Small,YNIG,,,,Nonning Airport,-32.522(S),136.494(E),,
Medium,YCEE,,CVC,,CLEVE,-33.710(S),136.505(E),4429 ft,
Small,YDHL,,,,Dhalinbuy Airport,-12.413(S),136.537(E),,
Small,YCBO,,,,Cape Borda Airport,-35.757(S),136.598(E),,
Small,YARD,,,,Argadargada Airport,-21.677(S),136.678(E),,
Small,YALX,,AXL,,Alexandria Homestead Airport,-19.060(S),136.710(E),,
Small,YROK,,,,Rocky River Airport,-35.930(S),136.720(E),,
Small,YRXB,,,,Roxby Downs Station Airport,-30.717(S),136.737(E),,
Small,YCWE,,,,Cape Wessels Airport,-11.000(S),136.750(E),,
Small,YTLT,,,,Tarlton Downs Airport,-22.633(S),136.800(E),,
Small,YYOO,,,,Yalymboo Airport,-31.803(S),136.860(E),,
Small,YCWL,,CCW,,Cowell Airport,-33.667(S),136.892(E),,
Small,YBNM,,,,Benmara Airport,-17.937(S),136.900(E),,
Small,YRBR,,RRV,,Robinson River Airport,-16.718(S),136.945(E),,
Small,YSDN,,,,Soudan Station Airport,-20.050(S),137.017(E),,
Small,YMTA,,MIY,,Mittebah Airport,-18.809(S),137.082(E),,
Small,YCKA,,,,Curdimurka Airport,-29.477(S),137.088(E),,
Small,YAMK,,ADO,,Andamooka Airport,-30.438(S),137.137(E),,
Small,,,,,Lake Eyre North,-28.417(S),137.300(E),,
Small,YAVD,,,,Avon Downs Airport,-20.033(S),137.517(E),,
Medium,YKSC,,KGC,,KINGSCOTE,-35.714(S),137.521(E),4600 ft,1
Small,YMIN,,XML,,Minlaton Airport,-34.750(S),137.533(E),,
Small,YYOR,,ORR,,Yorketown Airport,-35.000(S),137.617(E),,
Small,YKDI,,,,Kadina Airport,-33.977(S),137.660(E),,
Medium,YPAG,,PUG,,PORT AUGUSTA,-32.507(S),137.717(E),5413 ft,3
Small,YMLD,,,,Maitland Airport,-34.393(S),137.717(E),,
Small,YAUS,,AWP,,Austral Downs Airport,-20.500(S),137.750(E),,
Small,YRBM,,,,Redbank Mine Airport,-17.183(S),137.767(E),,
Small,YARS,,,,Ardrossan Airport,-34.447(S),137.888(E),,
Small,YMLR,,,,Muloorina Airport,-29.247(S),137.910(E),,
Small,YNUJ,,,,Nudjaburra Airport,-17.967(S),137.933(E),,
Small,YWOR,,WLL,,Wollogorang Airport,-17.220(S),137.935(E),,
Small,YMCR,,MFP,,Manners Creek Airport,-22.100(S),137.983(E),,
Medium,YPIR,,PPI,,PORT PIRIE,-33.239(S),137.995(E),3422 ft,
Small,YMRE,,RRE,,Marree Airport,-29.663(S),138.065(E),,
Small,YRKS,,,,Rocklands Airport,-19.867(S),138.100(E),,
Small,YQRN,,,,Quorn Airport,-32.320(S),138.102(E),,
Small,YCMW,,CML,,Camooweal Airport,-19.912(S),138.125(E),,
Small,YWRA,,,,Wooroona Airport,-20.482(S),138.168(E),,
Small,YWML,,,,Westmoreland Airport,-17.333(S),138.233(E),,
Small,YKLR,,,,Kalamurina Airport,-27.717(S),138.262(E),,
Small,YBWT,,,,Bowthorn Airport,-18.083(S),138.275(E),,
Small,YHDY,,HIP,,Headingly Airport,-21.333(S),138.283(E),,
Small,YKFC,,,,Kingfisher Camp Airport,-17.869(S),138.295(E),,
Small,YCWI,,CWR,,Cowarie Airport,-27.712(S),138.328(E),,
Small,YNOF,,,,Norfolk Airport,-19.333(S),138.333(E),,
Small,YBVA,,,,Balaklava Airport,-34.084(S),138.334(E),,
Small,YUDG,,,,Urandangi Airport,-21.590(S),138.358(E),,
Small,YBOC,,,,Booleroo Centre Airport,-32.905(S),138.360(E),,
Small,YSNT,,,,Snowtown Airport,-33.800(S),138.367(E),,
Small,YHEG,,,,Hells Gate Airport,-17.467(S),138.367(E),,
Medium,YLEC,,LGH,,LEIGH CREEK,-30.598(S),138.426(E),5610 ft,1
Small,YBAW,,BKP,,Barkly Downs Airport,-20.496(S),138.475(E),,
Small,YCRT,,,,Carrieton Airport,-32.417(S),138.517(E),,
Small,YALG,,,,Adels Grove Airport,-18.700(S),138.533(E),,
Small,YCVG,,,,Calvin Grove Airport,-34.697(S),138.578(E),,
Small,YRYK,,,,Rawnsley Park Airport,-31.654(S),138.610(E),,
Small,YCDT,,,,Carandotta Airport,-21.967(S),138.617(E),,
Small,YUDL,,,,Undilla Airport,-19.625(S),138.633(E),,
Small,YLAH,,LWH,,Lawn Hill Airport,-18.568(S),138.635(E),,
Small,YORR,,,,Orroroo Airport,-32.773(S),138.665(E),,
Small,YCNY,,,,CENTURY MINE,-18.753(S),138.707(E),5734 ft,1
Small,YGAW,,,,Gawler Airport,-34.602(S),138.717(E),,
Small,YBLM,,,,Blinman Airport,-31.119(S),138.726(E),,
Small,YGWA,,,,Goolwa Airport,-35.482(S),138.752(E),,
Small,YFFT,,,,Farrell Flat Airport,-33.833(S),138.767(E),,
Small,YDMG,,DMD,,DOOMADGEE,-17.940(S),138.822(E),5403 ft,1
Small,YGLO,,GLM,,Glenormiston Airport,-22.888(S),138.825(E),,
Small,YPTB,,,,Peterborough Airport,-33.005(S),138.858(E),,
Small,YKLL,,,,Kallala Airport,-21.750(S),138.883(E),,
Small,YLYK,,,,Lyndoch Airport,-34.622(S),138.914(E),,
Small,YNPU,,,,Nepabunna Airport,-30.603(S),138.948(E),,
Small,YWPA,,,,Wirrealpa Airport,-31.133(S),138.967(E),,
Small,YSYN,,,,Strathalbyn Airport,-35.312(S),138.990(E),,
Small,YMNP,,,,Murnpeowie Airport,-29.592(S),139.052(E),,
Small,YMTW,,,,Martins Well Airport,-31.474(S),139.111(E),,
Small,YMTI,,ONG,,MORNINGTON ISLAND,-16.663(S),139.178(E),4987 ft,1
Small,YAOR,,,,Ardmore Airport,-21.650(S),139.183(E),,
Small,YTEN,,,,Tenneco Station Five Airport,-31.975(S),139.207(E),,
Small,YMBD,,,,Murray Bridge Airport,-35.067(S),139.227(E),,
Small,YGDS,,GGD,,Gregory Downs Airport,-18.625(S),139.233(E),,
Small,YADS,,AWN,,Alton Downs Airport,-26.533(S),139.267(E),,
Small,YSFL,,,,Stonefield Gliding,-34.342(S),139.308(E),,
Small,YNIN,,,,Meningie Airport,-35.700(S),139.333(E),,
Small,YBLC,,LCN,,Balcanoona Airport,-30.535(S),139.337(E),,
Small,YARK,,,,Arkaroola Airport,-30.407(S),139.346(E),,
Medium,YBDV,,BVI,,BIRDSVILLE,-25.898(S),139.347(E),5682 ft,2
Small,YWEO,,,,Wertaloona Airport,-30.650(S),139.350(E),,
Small,YGPR,,,,Gunpowder Airport,-19.700(S),139.367(E),,
Small,YTNN,,,,Tenneco Station Four Airport,-31.183(S),139.383(E),,
Small,YPDI,,PDE,,Pandie Pandie Airport,-26.117(S),139.400(E),,
Small,YESC,,,,Escott Airport,-17.725(S),139.417(E),,
Small,YCTS,,,,Calton Hills Airport,-20.133(S),139.417(E),,
Small,YERU,,,,Erudina Airport,-31.434(S),139.425(E),,
Small,YWLN,,,,Wooltana Airport,-30.422(S),139.436(E),,
Medium,YBIE,,BEU,,BEDOURIE,-24.346(S),139.460(E),4921 ft,1
Small,YFTN,,,,Mount Fitton Talc Airport,-29.909(S),139.474(E),,
Small,YDAJ,,DJR,,Dajarra Airport,-21.708(S),139.533(E),,
Small,YBKT,,BUC,,BURKETOWN,-17.749(S),139.534(E),4501 ft,1
Small,YYUN,,,,Yunta Airport,-32.583(S),139.550(E),,
Small,YBEE,,,,Beverley Airport,-30.187(S),139.558(E),,
Small,YBTK,,,,Bentinck Island Airport,-17.087(S),139.566(E),,
Small,YSWE,,,,Sweers Island Resort Airport,-17.122(S),139.598(E),,
Small,YGLE,,GLG,,Glengyle Airport,-24.808(S),139.600(E),,
Small,YUNY,,CZY,,Cluny Airport,-24.517(S),139.617(E),,
Small,YALY,,,,Alderley Airport,-22.483(S),139.633(E),,
Small,YRSB,,RSB,,Roseberth Airport,-25.833(S),139.650(E),,
Small,YTEC,,,,Tenneco Station Three Airport,-30.337(S),139.665(E),,
Small,YMWX,,MXD,,Marion Downs Airport,-23.367(S),139.667(E),,
Small,YBHK,,,,Bushy Park Airport,-21.267(S),139.717(E),,
Small,YSBO,,,,Stanbroke Airport,-21.567(S),139.717(E),,
Small,YFRD,,,,Frome Downs Airport,-31.217(S),139.750(E),,
Small,YAML,,,,Armraynald Airport,-17.967(S),139.767(E),,
Small,YPMB,,,,Plumbago Airport,-32.053(S),139.872(E),,
Small,YKIG,,,,Kingston Airport,-36.823(S),139.875(E),,
Small,YAGD,,AUD,,Augustus Downs Airport,-18.515(S),139.878(E),,
Medium,YBOU,,BQL,,BOULIA,-22.913(S),139.900(E),4180 ft,1
Small,YLOR,,LOA,,Lorraine Airport,-18.993(S),139.907(E),,
Small,YTOS,,,,Tenneco Station Two Airport,-29.550(S),139.950(E),,
Small,YWER,,,,Wernadinga Airport,-18.133(S),139.967(E),,
Small,YWKI,,,,WAIKERIE,-34.184(S),140.031(E),3151 ft,
Small,YKAJ,,,,Kajabbi Airport,-20.033(S),140.033(E),,
Small,YTNE,,,,Tenneco Station One Airport,-28.733(S),140.050(E),,
Small,YKML,,KML,,Kamileroi Airport,-19.375(S),140.057(E),,
Small,YTIN,,,,Tintinara Airport,-35.867(S),140.067(E),,
Small,YOOM,,MOO,,MOOMBA,-28.099(S),140.197(E),5636 ft,2
Small,YDRI,,DRR,,Durrie Airport,-25.685(S),140.228(E),,
Small,YDEV,,,,Devoncourt Airport,-21.217(S),140.233(E),,
Small,YKTH,,,,Keith Airport,-36.108(S),140.242(E),,
Small,YCNG,,,,Cooranga Airport,-36.820(S),140.273(E),,
Small,YCTH,,,,Chatsworth Airport,-21.967(S),140.300(E),,
Small,YMYT,,RTY,,Merty Merty Airport,-28.583(S),140.317(E),,
Small,YSTR,,,,Strathearn Airport,-31.767(S),140.333(E),,
Small,YLUI,,,,Lucindale Airport,-36.972(S),140.352(E),,
Small,YMCT,,MLR,,MILLICENT,-37.584(S),140.366(E),3937 ft,
Small,YGNA,,,,Granada Airport,-20.100(S),140.367(E),,
Small,YCLE,,,,Callendale Airport,-37.243(S),140.445(E),,
Small,YQON,,,,Quondong Airport,-33.163(S),140.452(E),,
Small,YBMR,,,,Barmera Airport,-34.257(S),140.458(E),,
Small,YPDY,,,,Padthaway Station Airport,-36.617(S),140.483(E),,
Small,YLUL,,,,Mooleulooloo Airport,-31.633(S),140.533(E),,
Small,YMNK,,ONR,,Monkira Airport,-24.817(S),140.533(E),,
Small,YDOO,,,,Donors Hill Airport,-18.717(S),140.550(E),,
Small,YLAO,,,,Lameroo Airport,-35.367(S),140.550(E),,
Small,YOSB,,OSO,,OSBORNE MINE,-22.082(S),140.555(E),6550 ft,2
Small,YINV,,,,Inverleigh Airport,-18.017(S),140.567(E),,
Small,YLOX,,,,Loxton Airport,-34.475(S),140.663(E),,
Medium,YREN,,RMK,,RENMARK,-34.196(S),140.674(E),5709 ft,
Small,YCGH,,,,Clonagh Airport,-20.133(S),140.683(E),,
Small,YSPV,,KSV,,Springvale Airport,-23.550(S),140.700(E),,
Small,YNRC,,NAC,,NARACOORTE,-36.985(S),140.725(E),3438 ft,
Small,YINN,,INM,,Innamincka Airport,-27.700(S),140.733(E),,
Small,YBEO,,BTX,,Betoota Airport,-25.642(S),140.783(E),,
Medium,YMTG,,MGB,,MOUNT GAMBIER,-37.746(S),140.785(E),5000 ft,1
Small,YCNQ,,,,Coonawarra Airport,-37.283(S),140.800(E),,
Small,YTOA,,,,Toolachie Airport,-28.408(S),140.810(E),,
Small,YKMB,,KRB,,Karumba Airport,-17.457(S),140.830(E),,1
Small,YBLG,,,,Bollards Lagoon Airport,-28.983(S),140.850(E),,
Small,YDGI,,,,Dullingari Airport,-28.133(S),140.882(E),,
Small,YCAM,,,,Cannington Station Airport,-21.875(S),140.900(E),,
Small,YPNN,,,,Pinnaroo Airport,-35.253(S),140.943(E),,
Small,YAND,,,,Answer Downs Airport,-21.667(S),140.983(E),,
Small,YMOO,,OOR,,Mooraberree Airport,-25.250(S),140.983(E),,
Small,YARY,,AAB,,Arrabury Airport,-26.693(S),141.048(E),,
Small,YDPD,,DVP,,Davenport Downs Airport,-24.150(S),141.108(E),,
Small,YSDW,,,,Strathdownie Airport,-37.732(S),141.125(E),,
Small,YNAP,,NMR,,Nappa Merrie Airport,-27.558(S),141.133(E),,
Small,YSCA,,,,Scotia Sanctuary Airport,-33.207(S),141.173(E),,
Small,YEPL,,,,Epsilon Airport,-28.283(S),141.200(E),,
Small,YOMI,,,,Omicron Station Airport,-28.767(S),141.200(E),,
Small,YIFY,,IFF,,Iffley Airport,-18.900(S),141.217(E),,
Small,YKNV,,,,Kaniva Airport,-36.383(S),141.250(E),,
Small,YEDE,,,,Edenhope Airport,-37.017(S),141.267(E),,
Small,YMCK,,,,Mckinley Airport,-21.283(S),141.288(E),,
Small,YDLT,,DDN,,Delta Downs Airport,-16.992(S),141.317(E),,
Small,YCTN,,,,Casterton Airport,-37.600(S),141.400(E),,
Small,YWSD,,,,Westward Downs Airport,-30.725(S),141.400(E),,
Small,YYAA,,,,Yandama Airport,-29.683(S),141.425(E),,
Small,YMNY,,OXY,,Morney Airport,-25.358(S),141.433(E),,
Small,YIKM,,IKP,,Inkerman Airport,-16.275(S),141.442(E),,
Small,YCNA,,,,Corona Station Airport,-31.291(S),141.452(E),,
Medium,YPOD,,PTJ,,PORTLAND,-38.318(S),141.471(E),5302 ft,1
Small,YCUD,,,,Cuddapan Airport,-25.590(S),141.508(E),,
Small,YWNI,,,,Wathanin Airport,-13.700(S),141.550(E),,
Small,YMLL,,,,Millungera Airport,-19.858(S),141.562(E),,
Small,,,BHT,,Brighton Downs Airport,-23.364(S),141.563(E),,
Small,YARI,,,,Arizona 1 Airport,-21.667(S),141.567(E),,
Small,YKNC,,,,Kencherang Airport,-13.845(S),141.592(E),,
Small,YNHL,,,,NHILL,-36.310(S),141.641(E),3281 ft,
Small,YTTE,,,,Ti Tree Airport,-13.985(S),141.657(E),,
Small,YCOL,,,,Coleraine Airport,-37.600(S),141.700(E),,
